Project ID,Project data file,Total project construction time (months),Turbine rating MW,Hub height m,Rotor diameter m,Turbine spacing (times rotor diameter),Row spacing (times rotor diameter),Number of turbines,Breakpoint between base and topping (percent),Fuel cost USD per gal,Rate of deliveries (turbines per week),Wind shear exponent,Foundation depth m,Rated Thrust (N),Bearing Pressure (n/m2),50-year Gust Velocity (m/s),Line Frequency (Hz),Flag for user-defined home run trench length (0 = no; 1 = yes),Combined Homerun Trench Length to Substation (km),Non-Erection Wind Delay Critical Height (m),Non-Erection Wind Delay Critical Speed (m/s),Distance to interconnect (miles),Interconnect Voltage (kV),New Switchyard (y/n),Road length adder (m),Road Quality (0-1),Percent of roads that will be constructed,Road width (ft),Road thickness (in),Calculate road cost for distributed wind? (y/n),Site prep area for Distributed wind (m2),Crane width (m),Number of highway permits,Number of access roads,Overtime multiplier,Allow same flag,Override total management cost for distributed (0 does not override),Markup contingency,Markup warranty management,Markup sales and use tax,Markup overhead,Markup profit margin,Utility Interconnection Fees (Small DW only),Labor cost multiplier,Crane breakdown fraction,Project ID with serial
foundation_validation_ge15,ge15_public,9,1.5,80,77,4,10,100,0.8,1.5,10,0.2,2.36,589000,191521,59.5,60,0,50,10,15,5,130,y,5000,0.6,0.33,20,8,n,0,12.2,10,2,1.4,n,0,0.03,0.0002,0,0.05,0.05,0,1,0,
foundation_validation_clipper25,clipper_25_public,9,2.5,80,96,4,10,60,0.7,1.5,8,0.2,2.44,1009000,191521,59.5,60,0,50,10,15,5,130,y,5000,0.6,0.33,20,8,n,0,12.2,10,2,1.4,n,0,0.03,0.0002,0,0.05,0.05,0,1,0,
foundation_validation_iea36_85,iea36_85_project_data,9,3.6,85,130,4,10,28,0.7,1.5,6,0.2,3.1,1261000,191521,52.5,60,0,50,10,15,5,130,y,5000,0.6,0.33,20,8,n,0,12.2,10,2,1.4,n,0,0.03,0.0002,0,0.05,0.05,0,1,0,
foundation_validation_iea36_120,iea36_120_project_data,9,3.6,120,130,4,10,28,0.5,1.5,6,0.2,3.1,1780000,191521,52.5,60,0,50,10,15,5,130,y,5000,0.6,0.33,20,8,n,0,12.2,10,2,1.4,n,0,0.03,0.0002,0,0.05,0.05,0,1,0,
