Component,Mass tonne,Lift height m,Surface area sq m,Coeff drag,Coeff drag (installed),Section height m,Lever arm m,Cycle time installation hrs,Offload hook height m,Offload cycle time hrs,Multplier drag rotor,Multiplier tower drag
IEA 3.6-130 Bedplate,80,122,32,0.7,0.7,0,120,2,6,0.5,1,0
IEA 3.6-130 Drivetrain,80,126,20,0.9,0.9,0,120,2,6,0.5,0,0
Hub,35,120,12.16,1.1,1.1,0,120,1,6,0.5,0,0
Blade 1,17,120,68.8,0.1,1.4,0,120,1,6,0.5,0.666666667,0
Blade 2,17,120,68.8,0.1,1.4,0,120,1,6,0.5,0.666666667,0
Blade 3,17,120,68.8,0.1,1.4,0,120,1,6,0.5,0.666666667,0
Tower section 1,100,25,155,0.6,1.1,25,12.5,1,8,0.5,0,1
Tower section 2,100,60,155,0.6,1.1,25,42.5,1,8,0.5,0,1
Tower section 3,70,90,150,0.6,1.1,35,75,1,6,0.5,0,1
Tower section 4,70,120,140,0.6,1.1,35,105,1.25,6,0.5,0,1
