Project ID with serial,Number of turbines,Breakpoint between base and topping (percent),Turbine rating MW,Crane breakdown fraction,Labor cost multiplier,Hub height m,Base crane choice,Offload crane choice,Top crane choice,Base total cost,Offload total cost,Top total cost,Base wind multiplier,Offload wind multiplier,Top wind multiplier,Base operation time all turbines (hours),Offload operation time all turbines (hours),Top operation time all turbines (hours)
Baseline 1.5MW 91m RD 80m HH_0980,13.0,0.0,1.5,0.0,0.5,80,,LB 75 Hydraulic,LR1500 SL3F,,88554.0,630093.0,,1.0,1.56,,34.0,119.0
Baseline 1.5MW 91m RD 80m HH_0981,33.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,57044.0,165453.0,930784.0,1.26,1.0,1.59,34.0,87.0,268.0
Baseline 1.5MW 91m RD 80m HH_0982,67.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,95922.0,294274.0,1480245.0,1.26,1.0,1.59,68.0,176.0,545.0
Baseline 1.5MW 91m RD 80m HH_0983,100.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,132966.0,418137.0,2015029.0,1.26,1.0,1.59,102.0,262.0,813.0
Baseline 1.5MW 91m RD 80m HH_0984,133.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,170010.0,543590.0,2548640.0,1.26,1.0,1.59,135.0,349.0,1082.0
Baseline 1.5MW 91m RD 80m HH_0985,267.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,321045.0,1050547.0,4718304.0,1.26,1.0,1.59,271.0,700.0,2171.0
Baseline 1.5MW 91m RD 80m HH_0986,667.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,772099.0,2564684.0,11194421.0,1.26,1.0,1.59,678.0,1749.0,5424.0
Baseline 1.5MW 91m RD 80m HH_0987,13.0,0.0,1.5,0.25,0.5,80,,LB 75 Hydraulic,LR1500 SL3F,,88554.0,983293.0,,1.0,1.56,,34.0,299.0
Baseline 1.5MW 91m RD 80m HH_0988,33.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,57044.0,165453.0,1736824.0,1.26,1.0,1.59,34.0,87.0,673.0
Baseline 1.5MW 91m RD 80m HH_0989,67.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,95922.0,294274.0,3004069.0,1.26,1.0,1.59,68.0,176.0,1310.0
Baseline 1.5MW 91m RD 80m HH_0990,100.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,132966.0,418137.0,4254291.0,1.26,1.0,1.59,102.0,262.0,1938.0
Baseline 1.5MW 91m RD 80m HH_0991,133.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,170010.0,543590.0,5595115.0,1.26,1.0,1.59,135.0,349.0,2612.0
Baseline 1.5MW 91m RD 80m HH_0992,267.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,321045.0,1050547.0,10720651.0,1.26,1.0,1.59,271.0,700.0,5186.0
Baseline 1.5MW 91m RD 80m HH_0993,667.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,772099.0,2564684.0,26156161.0,1.26,1.0,1.59,678.0,1749.0,12939.0
Baseline 1.5MW 91m RD 80m HH_0994,13.0,0.0,1.5,0.5,0.5,80,,LB 75 Hydraulic,LR1500 SL3F,,88554.0,1248194.0,,1.0,1.56,,34.0,434.0
Baseline 1.5MW 91m RD 80m HH_0995,33.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,57044.0,165453.0,2453435.0,1.26,1.0,1.59,34.0,87.0,1033.0
Baseline 1.5MW 91m RD 80m HH_0996,67.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,95922.0,294274.0,4526720.0,1.26,1.0,1.59,68.0,176.0,2075.0
Baseline 1.5MW 91m RD 80m HH_0997,100.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,132966.0,418137.0,6494726.0,1.26,1.0,1.59,102.0,262.0,3063.0
Baseline 1.5MW 91m RD 80m HH_0998,133.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,170010.0,543590.0,8552161.0,1.26,1.0,1.59,135.0,349.0,4097.0
Baseline 1.5MW 91m RD 80m HH_0999,267.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,321045.0,1050547.0,16722999.0,1.26,1.0,1.59,271.0,700.0,8201.0
Baseline 1.5MW 91m RD 80m HH_1000,667.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,772099.0,2564684.0,41116728.0,1.26,1.0,1.59,678.0,1749.0,20454.0
Baseline 1.5MW 91m RD 80m HH_1001,13.0,0.0,1.5,0.75,0.5,80,,LB 75 Hydraulic,LR1500 SL3F,,88554.0,1513094.0,,1.0,1.56,,34.0,569.0
Baseline 1.5MW 91m RD 80m HH_1002,33.0,0.4375,1.5,0.75,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,57044.0,165453.0,3170046.0,1.26,1.0,1.59,34.0,87.0,1393.0
Baseline 1.5MW 91m RD 80m HH_1003,67.0,0.4375,1.5,0.75,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,95922.0,294274.0,6049371.0,1.26,1.0,1.59,68.0,176.0,2840.0
Baseline 1.5MW 91m RD 80m HH_1004,100.0,0.4375,1.5,0.75,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,132966.0,418137.0,8733987.0,1.26,1.0,1.59,102.0,262.0,4188.0
Baseline 1.5MW 91m RD 80m HH_1005,133.0,0.4375,1.5,0.75,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,170010.0,543590.0,11508033.0,1.26,1.0,1.59,135.0,349.0,5582.0
Baseline 1.5MW 91m RD 80m HH_1006,267.0,0.4375,1.5,0.75,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,321045.0,1050547.0,22725346.0,1.26,1.0,1.59,271.0,700.0,11216.0
Baseline 1.5MW 91m RD 80m HH_1007,667.0,0.4375,1.5,0.75,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,772099.0,2564684.0,56078468.0,1.26,1.0,1.59,678.0,1749.0,27969.0
Baseline 1.5MW 91m RD 80m HH_1008,13.0,0.0,1.5,1.0,0.5,80,,LB 75 Hydraulic,LR1500 SL3F,,88554.0,1777994.0,,1.0,1.56,,34.0,704.0
Baseline 1.5MW 91m RD 80m HH_1009,33.0,0.4375,1.5,1.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,57044.0,165453.0,3886656.0,1.26,1.0,1.59,34.0,87.0,1753.0
Baseline 1.5MW 91m RD 80m HH_1010,67.0,0.4375,1.5,1.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,95922.0,294274.0,7482593.0,1.26,1.0,1.59,68.0,176.0,3560.0
Baseline 1.5MW 91m RD 80m HH_1011,100.0,0.4375,1.5,1.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,132966.0,418137.0,10973249.0,1.26,1.0,1.59,102.0,262.0,5313.0
Baseline 1.5MW 91m RD 80m HH_1012,133.0,0.4375,1.5,1.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,170010.0,543590.0,14463905.0,1.26,1.0,1.59,135.0,349.0,7067.0
Baseline 1.5MW 91m RD 80m HH_1013,267.0,0.4375,1.5,1.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,321045.0,1050547.0,28638264.0,1.26,1.0,1.59,271.0,700.0,14186.0
Baseline 1.5MW 91m RD 80m HH_1014,667.0,0.4375,1.5,1.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,772099.0,2564684.0,70949606.0,1.26,1.0,1.59,678.0,1749.0,35439.0
Baseline 1.5MW 91m RD 80m HH_1015,13.0,0.0,1.5,0.0,0.75,80,,LB 75 Hydraulic,LR1500 SL3F,,107828.0,705568.0,,1.0,1.56,,34.0,119.0
Baseline 1.5MW 91m RD 80m HH_1016,33.0,0.4375,1.5,0.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,69060.0,215377.0,1103149.0,1.26,1.0,1.59,34.0,87.0,268.0
Baseline 1.5MW 91m RD 80m HH_1017,67.0,0.4375,1.5,0.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,120634.0,395437.0,1829542.0,1.26,1.0,1.59,68.0,176.0,545.0
Baseline 1.5MW 91m RD 80m HH_1018,100.0,0.4375,1.5,0.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,169693.0,568504.0,2536691.0,1.26,1.0,1.59,102.0,262.0,813.0
Baseline 1.5MW 91m RD 80m HH_1019,133.0,0.4375,1.5,0.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,218753.0,743880.0,3242163.0,1.26,1.0,1.59,135.0,349.0,1082.0
Baseline 1.5MW 91m RD 80m HH_1020,267.0,0.4375,1.5,0.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,418851.0,1452445.0,6110923.0,1.26,1.0,1.59,271.0,700.0,2171.0
Baseline 1.5MW 91m RD 80m HH_1021,667.0,0.4375,1.5,0.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1016454.0,3568771.0,14673686.0,1.26,1.0,1.59,678.0,1749.0,5424.0
Baseline 1.5MW 91m RD 80m HH_1022,13.0,0.0,1.5,0.25,0.75,80,,LB 75 Hydraulic,LR1500 SL3F,,107828.0,1172552.0,,1.0,1.56,,34.0,299.0
Baseline 1.5MW 91m RD 80m HH_1023,33.0,0.4375,1.5,0.25,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,69060.0,215377.0,2168870.0,1.26,1.0,1.59,34.0,87.0,673.0
Baseline 1.5MW 91m RD 80m HH_1024,67.0,0.4375,1.5,0.25,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,120634.0,395437.0,3844433.0,1.26,1.0,1.59,68.0,176.0,1310.0
Baseline 1.5MW 91m RD 80m HH_1025,100.0,0.4375,1.5,0.25,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,169693.0,568504.0,5497399.0,1.26,1.0,1.59,102.0,262.0,1938.0
Baseline 1.5MW 91m RD 80m HH_1026,133.0,0.4375,1.5,0.25,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,218753.0,743880.0,7270268.0,1.26,1.0,1.59,135.0,349.0,2612.0
Baseline 1.5MW 91m RD 80m HH_1027,267.0,0.4375,1.5,0.25,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,418851.0,1452445.0,14047230.0,1.26,1.0,1.59,271.0,700.0,5186.0
Baseline 1.5MW 91m RD 80m HH_1028,667.0,0.4375,1.5,0.25,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1016454.0,3568771.0,34456178.0,1.26,1.0,1.59,678.0,1749.0,12939.0
Baseline 1.5MW 91m RD 80m HH_1029,13.0,0.0,1.5,0.5,0.75,80,,LB 75 Hydraulic,LR1500 SL3F,,107828.0,1522789.0,,1.0,1.56,,34.0,434.0
Baseline 1.5MW 91m RD 80m HH_1030,33.0,0.4375,1.5,0.5,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,69060.0,215377.0,3116363.0,1.26,1.0,1.59,34.0,87.0,1033.0
Baseline 1.5MW 91m RD 80m HH_1031,67.0,0.4375,1.5,0.5,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,120634.0,395437.0,5857647.0,1.26,1.0,1.59,68.0,176.0,2075.0
Baseline 1.5MW 91m RD 80m HH_1032,100.0,0.4375,1.5,0.5,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,169693.0,568504.0,8459783.0,1.26,1.0,1.59,102.0,262.0,3063.0
Baseline 1.5MW 91m RD 80m HH_1033,133.0,0.4375,1.5,0.5,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,218753.0,743880.0,11180147.0,1.26,1.0,1.59,135.0,349.0,4097.0
Baseline 1.5MW 91m RD 80m HH_1034,267.0,0.4375,1.5,0.5,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,418851.0,1452445.0,21983537.0,1.26,1.0,1.59,271.0,700.0,8201.0
Baseline 1.5MW 91m RD 80m HH_1035,667.0,0.4375,1.5,0.5,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1016454.0,3568771.0,54236993.0,1.26,1.0,1.59,678.0,1749.0,20454.0
Baseline 1.5MW 91m RD 80m HH_1036,13.0,0.0,1.5,0.75,0.75,80,,LB 75 Hydraulic,LR1500 SL3F,,107828.0,1873027.0,,1.0,1.56,,34.0,569.0
Baseline 1.5MW 91m RD 80m HH_1037,33.0,0.4375,1.5,0.75,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,69060.0,215377.0,4063857.0,1.26,1.0,1.59,34.0,87.0,1393.0
Baseline 1.5MW 91m RD 80m HH_1038,67.0,0.4375,1.5,0.75,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,120634.0,395437.0,7870861.0,1.26,1.0,1.59,68.0,176.0,2840.0
Baseline 1.5MW 91m RD 80m HH_1039,100.0,0.4375,1.5,0.75,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,169693.0,568504.0,11420491.0,1.26,1.0,1.59,102.0,262.0,4188.0
Baseline 1.5MW 91m RD 80m HH_1040,133.0,0.4375,1.5,0.75,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,218753.0,743880.0,15088348.0,1.26,1.0,1.59,135.0,349.0,5582.0
Baseline 1.5MW 91m RD 80m HH_1041,267.0,0.4375,1.5,0.75,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,418851.0,1452445.0,29919844.0,1.26,1.0,1.59,271.0,700.0,11216.0
Baseline 1.5MW 91m RD 80m HH_1042,667.0,0.4375,1.5,0.75,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1016454.0,3568771.0,74019485.0,1.26,1.0,1.59,678.0,1749.0,27969.0
Baseline 1.5MW 91m RD 80m HH_1043,13.0,0.0,1.5,1.0,0.75,80,,LB 75 Hydraulic,LR1500 SL3F,,107828.0,2223265.0,,1.0,1.56,,34.0,704.0
Baseline 1.5MW 91m RD 80m HH_1044,33.0,0.4375,1.5,1.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,69060.0,215377.0,5011350.0,1.26,1.0,1.59,34.0,87.0,1753.0
Baseline 1.5MW 91m RD 80m HH_1045,67.0,0.4375,1.5,1.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,120634.0,395437.0,9765848.0,1.26,1.0,1.59,68.0,176.0,3560.0
Baseline 1.5MW 91m RD 80m HH_1046,100.0,0.4375,1.5,1.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,169693.0,568504.0,14381199.0,1.26,1.0,1.59,102.0,262.0,5313.0
Baseline 1.5MW 91m RD 80m HH_1047,133.0,0.4375,1.5,1.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,218753.0,743880.0,18996549.0,1.26,1.0,1.59,135.0,349.0,7067.0
Baseline 1.5MW 91m RD 80m HH_1048,267.0,0.4375,1.5,1.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,418851.0,1452445.0,37737923.0,1.26,1.0,1.59,271.0,700.0,14186.0
Baseline 1.5MW 91m RD 80m HH_1049,667.0,0.4375,1.5,1.0,0.75,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1016454.0,3568771.0,93682073.0,1.26,1.0,1.59,678.0,1749.0,35439.0
Baseline 1.5MW 91m RD 80m HH_1050,13.0,0.0,1.5,0.0,1.0,80,,LB 75 Hydraulic,LR1500 SL3F,,127102.0,781043.0,,1.0,1.56,,34.0,119.0
Baseline 1.5MW 91m RD 80m HH_1051,33.0,0.4375,1.5,0.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,81075.0,265300.0,1275514.0,1.26,1.0,1.59,34.0,87.0,268.0
Baseline 1.5MW 91m RD 80m HH_1052,67.0,0.4375,1.5,0.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,145346.0,496601.0,2178838.0,1.26,1.0,1.59,68.0,176.0,545.0
Baseline 1.5MW 91m RD 80m HH_1053,100.0,0.4375,1.5,0.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,206421.0,718871.0,3058352.0,1.26,1.0,1.59,102.0,262.0,813.0
Baseline 1.5MW 91m RD 80m HH_1054,133.0,0.4375,1.5,0.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,267496.0,944171.0,3935685.0,1.26,1.0,1.59,135.0,349.0,1082.0
Baseline 1.5MW 91m RD 80m HH_1055,267.0,0.4375,1.5,0.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,516657.0,1854344.0,7503543.0,1.26,1.0,1.59,271.0,700.0,2171.0
Baseline 1.5MW 91m RD 80m HH_1056,667.0,0.4375,1.5,0.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1260809.0,4572859.0,18152952.0,1.26,1.0,1.59,678.0,1749.0,5424.0
Baseline 1.5MW 91m RD 80m HH_1057,13.0,0.0,1.5,0.25,1.0,80,,LB 75 Hydraulic,LR1500 SL3F,,127102.0,1361810.0,,1.0,1.56,,34.0,299.0
Baseline 1.5MW 91m RD 80m HH_1058,33.0,0.4375,1.5,0.25,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,81075.0,265300.0,2600915.0,1.26,1.0,1.59,34.0,87.0,673.0
Baseline 1.5MW 91m RD 80m HH_1059,67.0,0.4375,1.5,0.25,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,145346.0,496601.0,4684797.0,1.26,1.0,1.59,68.0,176.0,1310.0
Baseline 1.5MW 91m RD 80m HH_1060,100.0,0.4375,1.5,0.25,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,206421.0,718871.0,6740506.0,1.26,1.0,1.59,102.0,262.0,1938.0
Baseline 1.5MW 91m RD 80m HH_1061,133.0,0.4375,1.5,0.25,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,267496.0,944171.0,8945421.0,1.26,1.0,1.59,135.0,349.0,2612.0
Baseline 1.5MW 91m RD 80m HH_1062,267.0,0.4375,1.5,0.25,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,516657.0,1854344.0,17373809.0,1.26,1.0,1.59,271.0,700.0,5186.0
Baseline 1.5MW 91m RD 80m HH_1063,667.0,0.4375,1.5,0.25,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1260809.0,4572859.0,42756195.0,1.26,1.0,1.59,678.0,1749.0,12939.0
Baseline 1.5MW 91m RD 80m HH_1064,13.0,0.0,1.5,0.5,1.0,80,,LB 75 Hydraulic,LR1500 SL3F,,127102.0,1797385.0,,1.0,1.56,,34.0,434.0
Baseline 1.5MW 91m RD 80m HH_1065,33.0,0.4375,1.5,0.5,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,81075.0,265300.0,3779291.0,1.26,1.0,1.59,34.0,87.0,1033.0
Baseline 1.5MW 91m RD 80m HH_1066,67.0,0.4375,1.5,0.5,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,145346.0,496601.0,7188574.0,1.26,1.0,1.59,68.0,176.0,2075.0
Baseline 1.5MW 91m RD 80m HH_1067,100.0,0.4375,1.5,0.5,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,206421.0,718871.0,10424841.0,1.26,1.0,1.59,102.0,262.0,3063.0
Baseline 1.5MW 91m RD 80m HH_1068,133.0,0.4375,1.5,0.5,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,267496.0,944171.0,13808132.0,1.26,1.0,1.59,135.0,349.0,4097.0
Baseline 1.5MW 91m RD 80m HH_1069,267.0,0.4375,1.5,0.5,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,516657.0,1854344.0,27244075.0,1.26,1.0,1.59,271.0,700.0,8201.0
Baseline 1.5MW 91m RD 80m HH_1070,667.0,0.4375,1.5,0.5,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1260809.0,4572859.0,67357258.0,1.26,1.0,1.59,678.0,1749.0,20454.0
Baseline 1.5MW 91m RD 80m HH_1071,13.0,0.0,1.5,0.75,1.0,80,,LB 75 Hydraulic,LR1500 SL3F,,127102.0,2232961.0,,1.0,1.56,,34.0,569.0
Baseline 1.5MW 91m RD 80m HH_1072,33.0,0.4375,1.5,0.75,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,81075.0,265300.0,4957668.0,1.26,1.0,1.59,34.0,87.0,1393.0
Baseline 1.5MW 91m RD 80m HH_1073,67.0,0.4375,1.5,0.75,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,145346.0,496601.0,9692351.0,1.26,1.0,1.59,68.0,176.0,2840.0
Baseline 1.5MW 91m RD 80m HH_1074,100.0,0.4375,1.5,0.75,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,206421.0,718871.0,14106995.0,1.26,1.0,1.59,102.0,262.0,4188.0
Baseline 1.5MW 91m RD 80m HH_1075,133.0,0.4375,1.5,0.75,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,267496.0,944171.0,18668663.0,1.26,1.0,1.59,135.0,349.0,5582.0
Baseline 1.5MW 91m RD 80m HH_1076,267.0,0.4375,1.5,0.75,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,516657.0,1854344.0,37114341.0,1.26,1.0,1.59,271.0,700.0,11216.0
Baseline 1.5MW 91m RD 80m HH_1077,667.0,0.4375,1.5,0.75,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1260809.0,4572859.0,91960501.0,1.26,1.0,1.59,678.0,1749.0,27969.0
Baseline 1.5MW 91m RD 80m HH_1078,13.0,0.0,1.5,1.0,1.0,80,,LB 75 Hydraulic,LR1500 SL3F,,127102.0,2668537.0,,1.0,1.56,,34.0,704.0
Baseline 1.5MW 91m RD 80m HH_1079,33.0,0.4375,1.5,1.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,81075.0,265300.0,6136044.0,1.26,1.0,1.59,34.0,87.0,1753.0
Baseline 1.5MW 91m RD 80m HH_1080,67.0,0.4375,1.5,1.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,145346.0,496601.0,12049104.0,1.26,1.0,1.59,68.0,176.0,3560.0
Baseline 1.5MW 91m RD 80m HH_1081,100.0,0.4375,1.5,1.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,206421.0,718871.0,17789149.0,1.26,1.0,1.59,102.0,262.0,5313.0
Baseline 1.5MW 91m RD 80m HH_1082,133.0,0.4375,1.5,1.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,267496.0,944171.0,23529193.0,1.26,1.0,1.59,135.0,349.0,7067.0
Baseline 1.5MW 91m RD 80m HH_1083,267.0,0.4375,1.5,1.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,516657.0,1854344.0,46837583.0,1.26,1.0,1.59,271.0,700.0,14186.0
Baseline 1.5MW 91m RD 80m HH_1084,667.0,0.4375,1.5,1.0,1.0,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1260809.0,4572859.0,116414540.0,1.26,1.0,1.59,678.0,1749.0,35439.0
Baseline 1.5MW 91m RD 80m HH_1085,13.0,0.0,1.5,0.0,1.5,80,,LB 75 Hydraulic,LR1500 SL3F,,165650.0,931992.0,,1.0,1.56,,34.0,119.0
Baseline 1.5MW 91m RD 80m HH_1086,33.0,0.4375,1.5,0.0,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,105106.0,365147.0,1620244.0,1.26,1.0,1.59,34.0,87.0,268.0
Baseline 1.5MW 91m RD 80m HH_1087,67.0,0.4375,1.5,0.0,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,194769.0,698929.0,2877431.0,1.26,1.0,1.59,68.0,176.0,545.0
Baseline 1.5MW 91m RD 80m HH_1088,100.0,0.4375,1.5,0.0,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,279875.0,1019606.0,4101675.0,1.26,1.0,1.59,102.0,262.0,813.0
Baseline 1.5MW 91m RD 80m HH_1089,133.0,0.4375,1.5,0.0,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,364981.0,1344753.0,5322730.0,1.26,1.0,1.59,135.0,349.0,1082.0
Baseline 1.5MW 91m RD 80m HH_1090,267.0,0.4375,1.5,0.0,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,712269.0,2658140.0,10288782.0,1.26,1.0,1.59,271.0,700.0,2171.0
Baseline 1.5MW 91m RD 80m HH_1091,667.0,0.4375,1.5,0.0,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,1749520.0,6581034.0,25111482.0,1.26,1.0,1.59,678.0,1749.0,5424.0
Baseline 1.5MW 91m RD 80m HH_1092,13.0,0.0,1.5,0.25,1.5,80,,LB 75 Hydraulic,LR1500 SL3F,,165650.0,1740326.0,,1.0,1.56,,34.0,299.0
Baseline 1.5MW 91m RD 80m HH_1093,33.0,0.4375,1.5,0.25,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,105106.0,365147.0,3465006.0,1.26,1.0,1.59,34.0,87.0,673.0
Baseline 1.5MW 91m RD 80m HH_1094,67.0,0.4375,1.5,0.25,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,194769.0,698929.0,6365524.0,1.26,1.0,1.59,68.0,176.0,1310.0
Baseline 1.5MW 91m RD 80m HH_1095,100.0,0.4375,1.5,0.25,1.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,279875.0,1019606.0,9226721.0,1.26,1.0,1.59,102.0,262.0,1938.0
